A,B,C,label
298,732,1304,F3
811,299,381,F5
392,379,512,F7
1186,1503,1281,F1
385,272,361,N8
345,404,573,F7
1038,156,895,F4
163,495,100,F6
270,298,736,F7
492,560,335,F2
118,712,345,F6
1085,842,665,F1
164,1159,647,F3
358,188,349,N8
334,1005,528,F3
363,256,773,F7
314,569,636,F3
337,169,228,N8
1977,1384,1587,F1
172,1222,1195,F3
201,1236,775,F3
688,363,361,F5
518,608,589,F1
727,394,1101,F4
967,146,988,F4
994,1213,310,F2
570,128,174,F5
424,890,1162,F3
849,1305,304,F2
575,997,197,F2
533,1540,257,F2
1654,1625,172,F2
257,557,313,F6
115,112,1588,F7
858,641,323,F2
413,793,213,F6
374,649,859,F3
1633,1480,380,F2
1132,148,256,F5
251,896,168,F6
353,252,216,N8
259,1172,1002,F3
142,403,986,F7
1975,1987,1090,F1
711,177,723,F4
237,1168,1067,F3
139,169,1165,F7
359,865,1289,F3
441,342,1010,F7
1430,894,636,F1
123,604,1168,F3
1125,214,193,F5
208,249,293,N8
1355,1707,1098,F1
792,357,437,F5
408,1188,438,F6
419,556,431,F6
1450,162,391,F5
1336,1068,1946,F1
815,115,1353,F4
820,764,392,F2
1053,306,898,F4
320,363,818,F7
279,1321,387,F6
122,326,287,N8
457,331,939,F4
537,413,1047,F4
460,417,1144,F4
292,745,318,F6
380,309,101,N8
449,1282,235,F6
969,338,645,F4
435,1174,741,F3
246,748,792,F3
276,139,294,N8
183,352,911,F7
119,284,123,N8
1170,1587,888,F1
412,626,241,F6
160,1004,922,F3
1345,1124,266,F2
221,769,135,F6
877,211,447,F5
1187,136,893,F4
1580,961,935,F1
1060,375,374,F5
1195,241,403,F5
1164,365,691,F4
1170,416,186,F5
309,442,158,N8
450,616,171,F2
1160,313,665,F4
1483,206,175,F5
170,1090,250,F6
380,1101,1327,F3
831,403,358,F5
681,1463,321,F2
617,298,292,F5
1345,240,712,F4
361,377,316,N8
514,171,132,F5
314,283,1623,F7
1399,107,1170,F4
240,157,202,N8
995,1561,301,F2
1595,1504,249,F2
285,515,573,F3
305,1280,1386,F3
162,316,1131,F7
395,795,270,F6
475,116,371,F5
974,317,1331,F4
318,435,1167,F7
177,777,976,F3
266,146,403,N8
828,364,784,F4
263,408,444,N8
357,310,1317,F7
1052,439,238,F5
932,1504,435,F2
234,646,402,F6
1409,1423,1891,F1
386,134,1415,F7
1252,885,1604,F1
1135,922,342,F2
479,515,157,F2
395,471,1118,F3
1015,205,247,F5
1277,707,1801,F1
167,131,106,N8
309,1282,143,F6
1058,399,582,F4
930,387,1183,F4
359,401,135,N8
978,376,1101,F4
1362,265,1183,F4
106,519,393,F6
806,368,522,F4
146,306,552,F7
234,990,315,F6
1043,145,1136,F4
370,635,751,F3
722,704,1621,F1
1114,1839,940,F1
373,893,1093,F3
1350,165,335,F5
1479,884,775,F1
1607,820,1442,F1
326,1101,337,F6
225,337,234,N8
316,167,582,F7
754,1992,1932,F1
1530,636,382,F2
339,1300,261,F6
799,256,698,F4
272,997,212,F6
1717,867,838,F1
836,379,386,F5
1586,1360,310,F2
356,255,328,N8
1328,404,1304,F4
831,115,1374,F4
245,362,677,F7
107,327,447,N8
1822,837,1341,F1
1231,277,1353,F4
234,1158,501,F3
498,195,773,F4
738,116,1311,F4
268,320,432,N8
437,1318,717,F3
849,1695,1686,F1
209,875,541,F3
159,239,155,N8
244,380,1676,F7
698,408,178,F5
374,185,429,N8
433,166,436,N8
213,243,227,N8
195,424,1319,F7
1348,594,110,F2
388,278,331,N8
1400,178,170,F5
1051,627,885,F1
249,148,363,N8
204,536,707,F3
1350,268,205,F5
448,1339,280,F6
296,1203,799,F3
311,1083,168,F6
131,288,180,N8
233,1094,931,F3
196,1180,164,F6
331,114,1609,F7
261,1100,277,F6
642,183,362,F5
434,1125,1361,F3
344,225,385,N8
854,759,387,F2
1105,989,375,F2
106,462,689,F3
354,1077,311,F6
954,1077,152,F2
1954,1957,734,F1
273,1240,1202,F3
434,716,1142,F3
514,1994,909,F1
232,1354,466,F3
222,1269,804,F3
306,596,325,F6
1332,877,593,F1
381,1201,647,F3
1118,1636,236,F2
396,1221,131,F6
759,1054,129,F2
461,129,1299,F4
176,882,437,F6
960,173,207,F5
203,285,180,N8
247,288,583,F7
908,1125,204,F2
1131,1361,368,F2
1415,952,886,F1
219,184,574,F7
311,1019,1099,F3
241,292,1412,F7
1659,709,278,F2
305,998,865,F3
720,1486,1020,F1
679,330,1287,F4
560,739,196,F2
174,430,840,F7
1388,224,750,F4
230,548,147,F6
822,743,315,F2
380,333,1504,F7
101,120,957,F7
240,1154,180,F6
1973,615,1997,F1
1092,382,886,F4
943,227,406,F5
443,341,1468,F7
151,1235,112,F6
276,935,141,F6
401,880,362,F6
340,1179,633,F3
1499,1230,1723,F1
687,237,987,F4
1720,1426,1253,F1
398,1036,167,F6
1488,1364,216,F2
1128,378,923,F4
1932,694,955,F1
1118,146,169,F5
793,310,379,F5
639,408,1039,F4
169,532,157,F6
440,827,355,F6
336,350,1046,F7
207,909,1251,F3
358,148,178,N8
337,518,385,F6
562,495,636,F1
349,204,688,F7
610,1430,760,F1
242,887,1372,F3
245,307,1408,F7
1047,423,158,F5
156,126,176,N8
322,745,829,F3
296,201,240,N8
335,380,1662,F7
741,337,765,F4
1413,1070,265,F2
268,196,1463,F7
151,215,1419,F7
308,521,345,F6
429,433,136,N8
269,1151,671,F3
1169,330,127,F5
110,1074,390,F6
517,424,297,F5
139,457,776,F3
637,592,340,F2
306,1240,308,F6
347,1378,958,F3
1397,1615,132,F2
668,1505,1043,F1
264,345,618,F7
540,797,1900,F1
202,157,191,N8
734,373,1127,F4
152,393,1127,F7
417,425,184,N8
141,564,1253,F3
129,166,134,N8
203,127,322,N8
163,212,1019,F7
1540,1104,366,F2
166,218,473,F7
181,694,114,F6
175,1077,860,F3
168,111,464,F7
984,161,1087,F4
342,635,112,F6
259,1266,396,F6
365,162,301,N8
318,533,943,F3
1353,422,195,F5
140,961,933,F3
637,1532,754,F1
412,1248,1085,F3
593,1496,139,F2
783,621,419,F2
1077,1161,281,F2
854,300,729,F4
177,625,319,F6
389,628,178,F6
498,110,1022,F4
968,449,349,F5
206,1190,1307,F3
1673,556,313,F2
140,1294,1222,F3
892,199,206,F5
598,284,231,F5
397,1361,1312,F3
1692,1004,1365,F1
861,1612,291,F2
250,1075,222,F6
131,997,1230,F3
1207,394,1050,F4
1371,1559,595,F1
336,1037,1270,F3
316,946,1257,F3
151,104,803,F7
153,1051,1156,F3
1526,1095,122,F2
876,284,309,F5
1845,1424,707,F1
309,1059,922,F3
1417,277,173,F5
991,147,1206,F4
245,1204,319,F6
814,264,757,F4
993,441,396,F5
1164,197,119,F5
579,252,820,F4
1019,766,428,F2
127,444,387,N8
637,284,248,F5
398,586,318,F6
441,1346,257,F6
670,1548,335,F2
1290,1682,196,F2
898,449,421,F5
163,876,1319,F3
1058,337,1160,F4
1964,1566,1304,F1
845,1255,512,F1
1347,565,273,F2
222,755,614,F3
386,1108,949,F3
928,293,708,F4
129,519,357,F6
142,148,1046,F7
427,302,225,N8
346,446,1584,F7
1608,930,375,F2
936,476,402,F2
205,995,1374,F3
162,126,194,N8
1470,1091,1690,F1
195,559,1053,F3
510,206,444,F5
106,808,735,F3
480,606,486,F1
434,364,1257,F7
646,123,259,F5
368,265,891,F7
1202,396,1271,F4
273,761,854,F3
1341,1477,284,F2
250,1010,518,F3
328,843,164,F6
265,240,659,F7
840,364,158,F5
594,839,444,F2
946,424,213,F5
1050,309,115,F5
364,159,202,N8
1565,1807,1842,F1
451,356,672,F4
168,103,1337,F7
406,369,1180,F7
933,1148,165,F2
1355,415,207,F5
1288,310,280,F5
376,515,927,F3
147,147,787,F7
248,444,305,N8
1376,339,116,F5
118,496,898,F3
155,345,1135,F7
242,828,1083,F3
696,1416,205,F2
199,541,769,F3
852,242,683,F4
1278,415,227,F5
1814,1971,1843,F1
640,428,912,F4
180,1030,157,F6
1534,481,165,F2
896,107,630,F4
333,791,116,F6
1452,646,103,F2
156,993,382,F6
217,1117,369,F6
520,157,218,F5
1031,172,182,F5
419,189,106,N8
430,1385,106,F6
1320,224,425,F5
167,985,170,F6
397,1103,607,F3
578,329,1007,F4
389,289,1063,F7
711,1395,1771,F1
502,138,1146,F4
1338,1738,1655,F1
1380,1686,126,F2
1184,197,1232,F4
109,371,218,N8
1313,398,670,F4
101,509,831,F3
194,801,281,F6
399,325,608,F7
355,362,775,F7
548,178,387,F5
363,706,238,F6
409,1226,340,F6
1000,442,667,F4
233,168,876,F7
442,518,324,F6
132,732,394,F6
170,450,923,F3
1633,936,147,F2
398,109,306,N8
395,1287,1205,F3
535,331,153,F5
856,393,284,F5
157,526,575,F3
183,592,974,F3
230,378,188,N8
1261,370,135,F5
1144,964,225,F2
870,196,309,F5
148,108,179,N8
498,695,370,F2
1711,893,1839,F1
317,304,197,N8
335,769,1100,F3
678,171,1269,F4
127,229,302,N8
175,971,437,F6
133,186,1061,F7
1437,160,216,F5
342,121,1198,F7
665,1182,1221,F1
561,390,1268,F4
1439,161,167,F5
1501,1346,444,F2
559,101,301,F5
271,138,417,N8
444,404,339,N8
209,627,371,F6
209,365,266,N8
889,566,1501,F1
835,465,1626,F1
1294,125,124,F5
166,189,966,F7
285,659,288,F6
155,299,354,N8
273,342,949,F7
341,251,1018,F7
739,183,985,F4
1164,1438,152,F2
164,690,347,F6
1655,466,356,F2
365,330,1378,F7
259,246,746,F7
1654,765,390,F2
115,1363,476,F3
1491,1477,443,F2
441,363,429,N8
761,913,1848,F1
125,1297,591,F3
326,1159,667,F3
489,840,154,F2
297,710,1169,F3
1320,377,640,F4
1350,1125,662,F1
261,155,1176,F7
372,248,1644,F7
484,1365,615,F1
1348,131,1069,F4
117,210,1107,F7
320,173,377,N8
1414,263,305,F5
1735,1051,1414,F1
1842,460,1784,F1
293,1130,1139,F3
487,296,661,F4
1164,282,495,F4
450,374,389,F5
1319,575,308,F2
210,230,243,N8
774,1310,393,F2
1481,278,441,F5
1935,1720,1995,F1
879,152,151,F5
367,1124,981,F3
1433,201,131,F5
446,594,1203,F3
575,838,251,F2
1136,520,682,F1
183,395,144,N8
694,442,212,F5
312,613,219,F6
982,131,1396,F4
1113,743,300,F2
121,263,980,F7
1676,1712,1728,F1
1160,508,622,F1
130,1258,204,F6
236,956,183,F6
418,369,405,N8
339,430,258,N8
1118,1262,1122,F1
864,846,433,F2
1289,379,818,F4
161,527,240,F6
527,594,672,F1
756,283,1204,F4
144,731,382,F6
1474,1576,146,F2
324,740,188,F6
893,894,1506,F1
1318,374,382,F5
119,1171,509,F3
904,348,289,F5
173,407,814,F7
105,247,227,N8
1358,399,1071,F4
215,140,286,N8
538,1007,1318,F1
893,320,1103,F4
1017,418,1044,F4
965,1912,1429,F1
558,402,354,F5
1381,1639,1008,F1
547,201,597,F4
399,949,389,F6
1260,256,290,F5
254,541,1369,F3
1522,1022,416,F2
238,130,1001,F7
1373,364,946,F4
339,1013,116,F6
301,597,144,F6
310,289,465,F7
1163,1328,147,F2
1768,1585,1481,F1
105,766,193,F6
846,248,560,F4
384,707,301,F6
131,1096,130,F6
1148,1778,1938,F1
404,247,365,N8
577,772,836,F1
119,364,663,F7
1364,289,739,F4
1152,1750,848,F1
669,204,447,F5
289,938,328,F6
864,820,1054,F1
1899,679,1276,F1
1183,420,304,F5
135,588,380,F6
398,674,435,F6
1934,1438,1709,F1
237,440,1108,F7
1292,289,1334,F4
1381,1413,1930,F1
1362,272,206,F5
1017,359,964,F4
633,304,681,F4
319,277,359,N8
1395,105,255,F5
1168,338,735,F4
874,212,513,F4
1260,267,1128,F4
721,1485,982,F1
911,328,1045,F4
632,421,564,F4
680,361,324,F5
406,918,333,F6
310,105,247,N8
357,495,123,F6
280,902,208,F6
185,363,398,N8
452,1661,454,F1
348,1247,721,F3
1632,1478,102,F2
668,1897,1926,F1
659,1476,247,F2
218,779,1179,F3
404,143,1522,F7
1731,1966,716,F1
1087,1623,379,F2
310,269,124,N8
1371,1643,1113,F1
300,967,136,F6
1414,453,437,F2
1290,410,582,F4
241,218,982,F7
121,161,272,N8
242,546,286,F6
651,1592,159,F2
852,394,1371,F4
1326,444,465,F4
229,366,192,N8
822,715,199,F2
419,997,545,F3
1385,1690,320,F2
1070,1851,1212,F1
177,982,405,F6
205,552,160,F6
793,372,389,F5
431,862,644,F3
1271,280,401,F5
471,446,248,F5
970,1028,265,F2
1602,485,1226,F1
1047,289,241,F5
482,381,734,F4
356,708,246,F6
228,949,1204,F3
495,1699,315,F2
278,1058,745,F3
130,227,1029,F7
1628,556,242,F2
956,164,1114,F4
739,160,175,F5
359,192,251,N8
